CODGEO,P21_POP,P15_POP,SUPERF,NAIS1520,DECE1520,P21_MEN,NAISD22,DECESD22,P21_LOG,P21_RP,P21_RSECOCC,P21_LOGVAC,P21_RP_PROP,NBMENFISC21,PIMP21,MED21,TP6021,P21_EMPLT,P21_EMPLT_SAL,P15_EMPLT,P21_POP1564,P21_CHOM1564,P21_ACT1564,ETTOT21,ETAZ21,ETBE21,ETFZ21,ETGU21,ETGZ21,ETOQ21,ETTEF121,ETTEFP1021,REG,%_evol_creations_etabl,indicateur_dvm,prix_m2_logmts,%_evol_nb_ventes_logmts,%_evol_prix_m2_logmts,prix_m2_locaux,%_evol_nb_ventes_locaux,%_evol_prix_m2_locaux,pop_0_29ans,ind_jeunesse,tx_scolarisation,tx_pop_sans_diplome,tx_pop_bac+2_ou_+,densite_demographique,tx_evol_demographique,tx_vacance_log,tx_activite,tx_chomage,part_emplois_salaries,part_emplois_dans_la_commune,densite_etablissements,tx_etablissements,part_Ets_agriculture,part_Ets_industrie,part_Ets_construction,part_Ets_commerce_services,part_Ets_adm_publique,part_Ets_1_a_9_salariés,part_Ets_10_salaries_ou_+,population_category
14001,1187.0,1216.0,12.0,69.0,40.0,500.584053771302,3.0,13.0,635.119346980251,500.584053771302,112.281334933784,22.2539582751644,430.566174428119,493.0,0.0,24480.0,0.0,171.049300198075,117.271967539492,178.417810276771,746.574535271076,46.9946093764391,584.586853114878,25.0,1.0,1.0,8.0,12.0,1.0,3.0,23.0,2.0,28,0.85,0.7960506016661523,2436.0,0.44,0.33,3373.4,4.0,0.51,382.0,0.32,0.98,0.25,0.24,98.92,-0.02,0.04,0.78,0.06,0.69,0.23,2.08,0.05,0.04,0.04,0.32,0.48,0.12,0.92,0.08,1k-2k
14003,313.0,281.0,4.21,24.0,10.0,118.861520153168,1.0,1.0,133.861520153168,118.861520153168,14.0,1.0,110.907039043033,120.0,0.0,25210.0,0.0,11.0759212859444,10.0695226367359,18.0828184062986,175.842264628687,6.08024570527452,139.536808515428,4.0,2.0,0.0,1.0,0.0,0.0,1.0,4.0,0.0,28,0.75,1.0178571428571428,2514.5384615384614,-0.19,0.63,,,,85.0,0.27,1.0,0.17,0.29,74.35,0.11,0.01,0.79,0.03,0.91,0.06,0.95,0.03,0.5,0.0,0.25,0.0,0.25,1.0,0.0,0-500
14005,1682.0,1767.0,41.16,93.0,47.0,666.546847431793,8.0,13.0,712.736930076421,666.546847431793,6.02479338842976,40.1652892561984,603.557616171332,665.0,0.0,23640.0,0.0,172.589417083557,119.763321902066,216.49075398438,1023.33055189137,48.6648180616107,791.024230600104,29.0,10.0,2.0,7.0,8.0,4.0,2.0,22.0,4.0,28,1.76,1.255681233933162,2480.8275862068967,0.32,0.56,,,,525.0,0.31,0.98,0.19,0.28,40.86,-0.05,0.06,0.77,0.05,0.69,0.17,0.7,0.04,0.3448,0.069,0.2414,0.2759,0.069,0.7586,0.1379,1k-2k
14006,1061.0,985.0,5.29,64.0,26.0,427.031185580786,11.0,10.0,453.185745220176,427.031185580786,8.71818654646329,17.4363730929266,374.469327231351,421.0,0.0,26040.0,0.0,72.0723448824691,54.0630833928734,82.3227641263297,640.763617711943,27.9939598706667,491.43976174285,17.0,3.0,0.0,2.0,10.0,3.0,2.0,16.0,1.0,28,0.4,1.4190761050182783,2115.253968253968,0.31,0.21,,,,363.0,0.34,0.99,0.12,0.37,200.57,0.08,0.04,0.77,0.04,0.75,0.11,3.21,0.04,0.1765,0.0,0.1176,0.5882,0.1176,0.9412,0.0588,1k-2k
14007,218.0,218.0,5.62,12.0,12.0,85.7535545023697,4.0,0.0,96.8528452825115,85.7535545023697,2.56137479541735,8.5379159847245,77.4881516587678,83.0,0.0,23960.0,0.0,18.2744351244355,8.00901913894922,26.0884299390689,125.014218009479,8.2654028436019,109.516587677725,5.0,1.0,0.0,1.0,2.0,1.0,1.0,4.0,0.0,28,2.5,0.5210643015521065,2924.769230769231,-0.28,0.95,,,,80.0,0.37,1.0,0.28,0.12,38.79,0.0,0.09,0.88,0.07,0.44,0.15,0.89,0.06,0.2,0.0,0.2,0.4,0.2,0.8,0.0,0-500
14009,1383.0,1414.0,6.06,72.0,49.0,569.60493010662,14.0,4.0,633.353543585548,569.60493010662,39.7122510196598,24.0363624592677,482.372795736564,563.0,0.0,26240.0,0.0,142.193562487634,111.902081069808,129.257606228993,863.803561025101,57.315084944417,670.557483589166,20.0,4.0,1.0,6.0,7.0,1.0,2.0,16.0,4.0,28,1.67,0.6222939023633769,2782.96875,-0.22,0.37,4482.0,0.0,5.69,473.0,0.34,0.98,0.16,0.34,228.22,-0.02,0.04,0.78,0.07,0.79,0.16,3.3,0.04,0.2,0.05,0.3,0.35,0.1,0.8,0.2,1k-2k
14011,1903.0,1935.0,46.0,130.0,51.0,738.627086523613,18.0,10.0,837.960419856947,738.627086523613,30.0069444444444,69.3263888888889,646.581360309018,734.0,0.0,22320.0,0.0,225.539114732383,133.607687048078,257.488902915181,1199.86434293858,51.9491831005334,964.078405453388,37.0,13.0,1.0,8.0,9.0,3.0,6.0,30.0,3.0,28,1.0,1.368719438735738,1736.3006535947713,-0.01,0.02,,,,663.0,0.35,0.99,0.2,0.28,41.37,-0.02,0.08,0.8,0.04,0.59,0.19,0.8,0.05,0.3514,0.027,0.2162,0.2432,0.1622,0.8108,0.0811,1k-2k
14012,197.0,139.0,3.91,17.0,8.0,77.5425531914894,4.0,1.0,89.678916827853,77.5425531914894,6.06818181818184,6.06818181818184,59.7287234042553,64.0,0.0,22570.0,0.0,28.4543220021782,20.1424495830347,25.6140805462653,128.88829787234,8.38297872340426,102.691489361702,7.0,0.0,2.0,1.0,3.0,1.0,1.0,5.0,1.0,28,1.0,0.7117794486215538,3915.655172413793,0.21,0.97,,,,50.0,0.25,0.96,0.21,0.24,50.38,0.42,0.07,0.8,0.07,0.71,0.22,1.79,0.09,0.0,0.2857,0.1429,0.4286,0.1429,0.7143,0.1429,0-500
14014,1306.0,1137.0,5.61,82.0,28.0,507.609281914834,13.0,8.0,522.333726359278,507.609281914834,5.52166666666667,9.20277777777778,455.1947857246,525.0,0.0,29170.0,0.0,91.6336642133806,60.7796501426189,96.4218871285209,817.294564510969,51.0697414084838,640.113919665184,28.0,4.0,0.0,5.0,13.0,1.0,6.0,23.0,1.0,28,2.77,2.295934446895682,2436.8793103448274,-0.22,0.12,,,,432.0,0.33,1.0,0.06,0.53,232.8,0.15,0.02,0.78,0.06,0.66,0.11,4.99,0.06,0.1429,0.0,0.1786,0.4643,0.2143,0.8214,0.0357,1k-2k
14015,776.0,712.0,4.19,36.0,20.0,308.226068134305,8.0,7.0,317.696656369599,308.226068134305,0.0,9.47058823529415,271.444997703713,308.0,0.0,32490.0,0.0,56.2970126742467,42.0654919177723,45.8642078442979,461.916032925383,19.8738205656464,363.726665818647,15.0,2.0,1.0,1.0,10.0,1.0,1.0,15.0,0.0,28,1.33,1.13359173126615,2420.5263157894738,-0.25,0.19,,,,210.0,0.27,1.0,0.08,0.52,185.2,0.09,0.03,0.79,0.04,0.75,0.12,3.58,0.05,0.1333,0.0667,0.0667,0.6667,0.0667,1.0,0.0,501-1k
