zone_emploi,indicateur_forecast_sarima,indicateur_forecast_sarima_carre
Rouen,1.0204253622760324,1.041267919976172
Caen,1.0706161481000873,1.146218936572668
Le Havre,1.0644093309856213,1.1329672238892579
Evreux,1.0302460122775101,1.0614068458137116
Cherbourg en Cotentin,1.0085194437985165,1.0171114685196692
Dieppe-Caux maritime,1.066930847178231,1.1383414326604577
Honfleur Pont-Audemer,1.0124250763025886,1.0250045351263024
Vernon-Gisors,1.0584312316872524,1.1202766722109943
Saint-Lô,1.0115351708415354,1.0232034018494143
Flers,1.0956989555238998,1.200556201136165
Avranches,1.1402415477419467,1.3001507871969502
Alençon,0.9853536401904524,0.9709217962365755
Lisieux,1.0505219785129274,1.1035964273387155
Yvetot-Vallée du Commerce,0.9908696161702235,0.9818225962493261
Coutances,0.9471538991205068,0.8971005086191792
Bernay,0.9823711522333491,0.9650530807402781
Granville,0.9857288733229231,0.9716614117024794
L'Aigle,1.1005007040049426,1.2111017995153743
Argentan,1.0285958743635653,1.0580094727577474
Vire Normandie,1.059459535386197,1.1224545071207366
La Vallée de la Bresle-Vimeu,1.0107217448189068,1.0215584454497753
Nogent-le-Rotrou,1.0716159779892729,1.1483608042819058
Dreux,1.1035898092491065,1.2179104670784793
Beauvais,0.9416342590394997,0.8866750777968676
Paris,0.9095144537004125,0.8272165414899598
Roissy,1.0439242641065591,1.089777869190421
Seine-Yvelinoise,1.0185885704083215,1.0375226757664682
Versailles-Saint-Quentin,1.054865833467758,1.112741926617628
Cergy-Vexin,1.0515867031394321,1.1058345942196601
Evry,1.0519795590685115,1.1066609926979798
Saclay,0.9369931711301527,0.8779562027445396
Marne-la-Vallée,0.9884463229413736,0.9770261333363222
Fontainebleau-Nemours,1.1226184906267007,1.2602722754969717
Meaux,0.9107758452052414,0.8295126402093218
Melun,1.0438403832574124,1.0896027457189814
Etampes,0.9131849998307766,0.8339068439159355
Rambouillet,0.9435802946392661,0.8903437724315242
Coulommiers,0.8678665659720456,0.753192376332111
Provins,0.9682608488488973,0.9375290714135871
