ze,ratio_sarima_log,map_sarima_log,rmse_sarima_log,map_lstm_vanilla,mse_lstm_vanilla,rmse_lstm_vanilla,ratio_lstm_vanilla,map_lstm_bidirectionnal,mse_lstm_bidirectionnal,rmse_lstm_bidirectionnal,ratio_lstm_bidirectionnal,map_gru,mse_gru,rmse_gru,ratio_gru,map_lstm_stacked,mse_lstm_stacked,rmse_lstm_stacked,ratio_lstm_stacked
Rouen,1.0327749963932402,0.0854022419284374,0.7984908135390401,0.1115004640809393,0.8049436557250349,0.897186522260023,1.02170993870279,0.1074414709387007,0.7877378727900194,0.8875459834791769,1.0102005341142364,0.1097240114950256,0.8124294304613139,0.901348673079022,1.0087835627058108,0.1132134771348059,0.7861762818579277,0.8866658231024401,1.043333231158261
Caen,1.1053386761160175,0.139990892768702,1.0308242947286002,0.1357867912230133,1.1516147180498004,1.0731331315590813,1.070729131196122,0.1226667282352928,1.080775481508559,1.0396035213044246,1.0410266505247134,0.1234800039286068,1.1090035160248275,1.0530923587344214,1.0391004632676624,0.1504914476686059,1.2199066551069735,1.1044938456627875,1.1097218921760672
Le Havre,1.1236905296938613,0.1808958107888298,1.6722294462003366,0.1611977398091809,3.339216157155361,1.827352225805239,0.9222680643913472,0.1612089376613728,3.3419982511954607,1.8281133037083508,0.9247462442875836,0.2005220735749423,3.090620774097479,1.7580161472800753,1.141681919604433,0.155284985930575,3.1190619993782667,1.7660866341655683,0.943227638237085
Evreux,0.9977393490759284,0.0976661190853943,0.8683939147482617,0.1038903783488081,1.051173897971412,1.025267720145042,1.0065004457020192,0.11043215563714,1.17177240622193,1.0824843676570717,1.0098919821011143,0.1105957280469013,1.1758498680646352,1.084366113480422,1.0163030466936127,0.1131159672548249,1.230917934362026,1.109467410229803,1.008104113332576
Cherbourg en Cotentin,0.9885864474229265,0.1820254739109498,2.130831747623533,0.1877235054607947,4.9240312026299895,2.219015818472232,1.001449338241451,0.1906950013436661,5.097361193407773,2.257733640934593,0.9986249407973736,0.1869634117539053,4.890605498555695,2.2114713424676555,1.0013738718910856,0.1883787938312463,4.898870415835507,2.2133392003566708,1.003954955729302
Dieppe-Caux maritime,1.0891535320220054,0.1744718995845271,1.5690473236077631,0.1811267066433214,2.5812846314183293,1.6066376789489063,1.1030865709075346,0.1864988584361407,2.692050297273708,1.6407468717854403,1.1149952375700989,0.1809748428040428,2.5752666117516854,1.604763724587419,1.1030142558949056,0.1688967596118565,3.265024583811163,1.8069379025885648,0.909932894499546
Honfleur Pont-Audemer,1.0211513331997393,0.1321976683298981,1.1687754797738346,0.1363192976339794,1.4170904479880049,1.190416081875579,1.0317840383819004,0.1342559769531627,1.408753749448716,1.18690932654888,1.0240837828260425,0.1359049676233703,1.4164478369623543,1.1901461410105711,1.031316918924207,0.1353336792421162,1.4165242100071922,1.190178226152366,1.0282873769524896
Vernon-Gisors,1.009700368318973,0.1374128003939473,1.238766262575815,0.1556586569036367,1.6411321041961873,1.2810667836596916,1.0496155788095871,0.1542253739073232,1.6317487051504511,1.2773991956903883,1.0452270109220545,0.1553594130409812,1.6434225696072944,1.281960439954094,1.047870188332252,0.153920423411541,1.6396823404475158,1.2805008162619482,1.0426183587558633
Saint-Lô,1.0120080962832378,0.1561110101847966,1.8433312501508363,0.1798796897948613,4.461000328708982,2.1121080296019383,1.0213734530824772,0.1803052709935756,4.478518773960415,2.116251113162239,1.017925572385492,0.1792370886639441,4.506914901099253,2.1229495757316643,1.0150975478749116,0.1804325351726456,4.455085347651868,2.110707309802065,1.0242321647511805
Flers,1.0789912537712223,0.1782150974947928,1.9639754012927044,0.2106075222607908,5.294927815689845,2.301071014916716,1.1219541918888518,0.211506634194769,5.311119324267208,2.304586584241783,1.1234823960357998,0.2074673215756336,5.211554948069651,2.282883034250693,1.1151597521636034,0.20882966150081,5.254362939264997,2.2922397211602883,1.1181136910621534
