ze,sarima_mape,sarima_rmse,sarima_ratio,lstm_bi_mape,lstm_bi_rmse,lstm_bi_ratio
Rouen,0.10201248561498202,0.9114548014131363,1.0653106223923443,0.08007036780584631,0.7656703151082077,0.9964099618929394
Evry,0.2615226334999322,1.7094261031156281,1.227953002243107,0.14473871055993043,1.4515853434695434,1.0118952616370336
Dreux,0.30449721282383957,2.461676841467835,1.0858738822480418,0.4608842529323607,3.820605818131816,1.1764180127984527
Beauvais,0.4093143593554466,4.704115361093178,0.8884965602891007,0.53063389293249,4.705885602934383,1.1532100234379077
Paris,0.34638343469014354,1.8721223091609334,1.3301491307139914,0.10644449906741384,0.8734960927159074,0.9813604464793394
Roissy,0.36252336880938035,1.916092084805671,1.354918138213416,0.1025838950329398,0.737320557567911,1.0250460778134511
Seine-Yvelinoise,0.23446567550072064,1.4227737231834165,1.233836349837314,0.10082936325817121,0.7366097121785017,0.9766879456552437
Versailles-Saint-Quentin,0.2119691406752556,1.3170262922977802,1.2119691406752555,0.11245406493143668,0.7467139276147745,1.0333102019950997
Cergy-Vexin,0.3148392658415523,1.7294961143409195,1.3148392658415524,0.07709239711260746,0.5290130850079504,1.0068671249713483
Saclay,0.24058744500143672,1.782298862411091,1.1965785403448763,0.16089045272283142,1.971997204173831,0.9360603675286354
La Vallée de la Bresle-Vimeu,0.26522464664275625,4.237741857176828,0.8157403749627015,0.3055032395364656,3.7534927809030414,1.1000407853351155
Marne-la-Vallée,0.26616421162602516,1.7818638792469927,1.2119007580650645,0.13135060896200332,1.4590868763823495,0.9733591655250449
Fontainebleau-Nemours,0.11536401065778558,1.0834198455280974,1.049935640747561,0.11621455394163417,1.1155943204491137,1.0375310258510548
Meaux,0.2138862341167309,2.230022949754915,1.08404409267639,0.22962569630574328,2.5792820246260173,0.9540235811324581
Melun,0.21700953471643153,1.395975255524102,1.1865106538947812,0.1330174146907947,1.0010784157309376,1.0364992226135283
Etampes,0.17634726172682866,2.1639576618046377,0.998295362884507,0.2506172867233924,2.401554242909044,1.0622321582381606
Rambouillet,0.14751216586377627,1.1374038445000831,1.0510983769642297,0.2209278452272615,1.741488679437004,0.9934105200318363
Coulommiers,0.21009463387415114,2.594251922740218,0.9858432882617492,0.2859292930058439,2.895980528880501,0.9933751460624269
Nogent-le-Rotrou,0.330861953363122,3.6709133171810535,0.9035992882073972,0.472016859284569,4.207705800582297,1.2305709354015608
Vire Normandie,0.2712436321173514,3.467142640567501,0.811344241351314,0.3540595338115,3.2549560570452987,1.1995783752000209
Caen,0.10083437190054144,0.7906873609894348,1.0805910942381804,0.13642768446553546,1.0941983618419633,1.0429816461030181
Flers,0.2519462295402087,3.107590912302152,0.7682753330977039,0.2756656908605894,2.8024865303348325,1.0843378737500415
Le Havre,0.12777381916464245,1.5713902863358165,1.0035387542932763,0.2035458858707325,1.999656530500117,1.07680974625709
Evreux,0.12548440709232953,1.1354714370962866,0.9283942829001472,0.1464342899793177,1.313480973276269,1.0301071900053302
Cherbourg en Cotentin,0.2032844980952036,2.6979226669185197,0.8116910800694598,0.21015372886037487,2.4787877539254217,1.0516647409324833
Dieppe-Caux maritime,0.18154411407024812,1.8828661411816674,0.8703866688681642,0.20764479718587311,1.847180584079048,1.0827866282622887
Honfleur Pont-Audemer,0.1369562077236113,1.3252083176040317,0.9431048827043594,0.18973123115448176,1.7328632570837648,1.038224009390988
Vernon-Gisors,0.13254591172041513,1.317418831979077,0.9835873466556937,0.17407103941249816,1.5782434518641262,1.0112466102738786
Saint-Lô,0.25643562819414834,3.013899301790403,0.7659744357957821,0.18588277968806483,2.076423655687388,1.0715468674583573
Avranches,0.2711013893839709,3.7966439003166483,0.729575263603546,0.20781893213009772,2.326882001486647,1.1146696555468194
Argentan,0.25807668325526045,3.644432446162579,0.7725973414749147,0.25195718688288354,2.874222819996921,1.0903929956706033
Alençon,0.23826399049367677,2.9794363014009675,0.7714627705413212,0.255858593225591,2.8571945899592213,1.0440906293638776
Lisieux,0.19034757435465988,1.985054120611157,0.8991829572108189,0.261855711332114,2.3698984616761734,1.0760939641310225
Yvetot-Vallée du Commerce,0.18794440559229125,2.353119372113447,0.853494938045037,0.1964351539676731,2.176854636940196,1.0312430828789765
Coutances,0.3050043714417667,3.9696390655714127,0.7027890368329537,0.20582294750684527,2.598353199323531,1.0120886277225625
Bernay,0.23615380747709544,2.9396412615483207,0.8080132111181425,0.2709064471150407,2.9618695753139495,1.0341133640258302
Granville,0.19523142653265094,2.470019084200666,0.8527506079238922,0.2624794498296157,2.5756726604008424,1.047176947294252
L'Aigle,0.25611455150392387,3.1374560135854836,0.8147442393330747,0.425087053865073,4.175934017580714,1.2036922004600297
Provins,0.20186476112463358,1.983956599512442,0.934667962764615,0.18053654823559276,1.7561799996874619,1.016783334717937
