siren,siret,dateCreationEtablissement,trancheEffectifsEtablissement,etablissementSiege,codeCommuneEtablissement,dateDebut,etatAdministratifEtablissement,activitePrincipaleEtablissement,nomenclatureActivitePrincipaleEtablissement
000325175,00032517500016,2000-09-26,,False,98727,2009-05-27,F,32.12Z,NAFRev2
000325175,00032517500024,2008-05-20,,False,84007,2011-10-21,F,47.89Z,NAFRev2
000325175,00032517500032,2009-05-27,,False,84007,2011-10-21,F,32.12Z,NAFRev2
000325175,00032517500040,2011-10-21,,False,13042,2014-01-07,F,32.12Z,NAFRev2
000325175,00032517500057,2014-01-07,,False,13204,2018-02-07,F,32.12Z,NAFRev2
000325175,00032517500065,2018-02-07,,True,13204,2018-02-07,A,32.12Z,NAFRev2
001807254,00180725400014,1972-05-01,,False,54528,1978-05-31,F,,
001807254,00180725400022,2009-10-01,,True,02691,2014-12-31,F,85.59A,NAFRev2
005410220,00541022000015,,NN,True,80765,1988-03-31,F,22.02,NAP
005410345,00541034500010,,,True,80001,1984-12-25,F,79.06,NAP
005410394,00541039400018,,NN,True,80025,1987-12-01,F,64.42,NAP
005410428,00541042800014,1954-01-01,NN,True,80001,1989-06-11,F,70.2C,NAF1993
005410436,00541043600017,,,True,80001,1984-12-25,F,57.11,NAP
005410485,00541048500014,,,True,80373,1985-12-25,F,64.42,NAP
005410493,00541049300018,,,True,80765,,F,86.06,NAP
005410501,00541050100018,1954-01-01,NN,True,80808,2001-12-31,F,55.4B,NAF1993
005410519,00541051900010,,NN,True,80228,,F,62.11,NAP
005410527,00541052700013,,,True,80001,1997-07-01,F,70.2C,NAF1993
005410543,00541054300010,,,True,80598,,F,67.05,NAP
005410642,00541064200010,,NN,True,80373,1991-12-31,F,64.45,NAP
005410667,00541066700017,,NN,True,80512,1996-10-30,F,55.4B,NAF1993
005410675,00541067500010,,,True,80019,1984-12-25,F,62.43,NAP
005410717,00541071700010,,NN,True,80716,1990-10-31,F,65.06,NAP
005410733,00541073300017,,NN,True,80001,,F,57.03,NAP
005410741,00541074100010,,,True,80649,1985-12-25,F,64.42,NAP
005410758,00541075800014,,,True,80001,1984-12-25,F,67.05,NAP
005410816,00541081600010,,NN,True,80440,,F,38.40,NAP
005410857,00541085700014,,NN,True,80001,,F,62.11,NAP
005410873,00541087300029,1980-01-01,NN,True,80373,1999-12-31,F,70.2C,NAF1993
005410899,00541089900024,2000-01-01,NN,True,80001,2001-03-22,F,74.1J,NAF1993
005410949,00541094900019,,NN,True,80001,,F,64.11,NAP
005410980,00541098000014,,,True,80546,1987-06-30,F,67.07,NAP
005411053,00541105300019,,,True,80578,1991-03-31,F,65.03,NAP
005411236,00541123600010,,,True,80500,,F,55.40,NAP
005411343,00541134300014,,,True,80222,1992-10-31,F,50.1Z,NAF1993
005411434,00541143400011,,,True,80303,1987-09-30,F,65.02,NAP
005411483,00541148300018,,,True,80222,1984-12-25,F,62.41,NAP
005411582,00541158200017,1954-01-01,NN,True,80001,2010-12-25,F,68.20B,NAFRev2
005411699,00541169900019,,NN,True,80222,1999-01-10,F,57.03,NAP
005411806,00541180600010,,,True,80001,1984-12-25,F,62.11,NAP
005411954,00541195400018,,,True,80228,1984-12-25,F,38.50,NAP
005411962,00541196200011,,,True,80250,1990-12-31,F,67.05,NAP
005411996,00541199600019,,NN,True,80001,,F,67.04,NAP
005420013,00542001300012,,NN,True,80001,,F,62.21,NAP
005420021,00542002100015,1900-01-01,NN,False,80001,2008-09-05,F,46.69B,NAFRev2
005420021,00542002100023,1995-02-14,NN,False,76235,2009-12-31,F,46.69B,NAFRev2
005420021,00542002100031,1996-03-15,NN,False,80368,2009-12-31,F,46.69B,NAFRev2
005420021,00542002100049,2008-09-05,NN,False,80001,2009-12-23,F,46.69B,NAFRev2
005420021,00542002100056,2009-12-23,NN,True,80001,2009-12-23,A,46.69B,NAFRev2
